ih_1,ih_2,ih_3,ih_4,ih_5,ih_6,ih_7,ih_8,ih_9,ih_10,ih_11,ih_12,ih_13,ih_14,ih_15,ih_16,ih_17,ih_18,ih_19,ih_20,ih_21,ih_22,ih_23,ih_24,ih_25,ih_26,ih_27,ih_28,ih_29,ih_30,ih_31,ih_32,ih_33,ih_34,ih_35,ih_36,ih_37,ih_38,ih_39,ih_40,ih_41,ih_42,ih_43,ih_44,ih_45,ih_46,ih_47,ih_48,ih_49,ih_50,ih_51,ih_52,gender,age,race,gpa,sat,act,phil_cls,psyc_cls,major,athlete
7,3,6,1,1,1,2,1,4,6,6,2,5,6,5,6,6,3,7,7,2,1,6,6,2,4,1,5,1,1,5,7,2,7,6,6,4,5,5,3,4,1,2,1,7,2,6,2,5,1,2,1,2,21,7,3.9,,34,0,3,82,1
3,5,5,6,4,2,2,4,7,2,3,4,4,2,4,5,3,3,3,7,,2,5,4,2,4,4,7,3,3,2,4,2,6,4,6,5,4,1,3,3,5,4,4,5,6,4,4,1,1,2,1,1,19,7,4,,30,0,0,44,2
5,3,1,2,1,1,1,3,4,5,5,2,3,5,6,6,6,5,6,6,3,3,6,5,5,3,2,6,3,4,3,4,2,7,6,6,4,3,6,3,6,3,2,2,6,3,6,2,3,1,2,2,1,25,7,2.6,,,1,1,82,2
4,5,2,2,2,2,4,6,3,5,4,3,6,2,2,6,6,3,6,5,5,4,6,6,6,3,2,6,6,2,2,4,2,6,5,6,2,3,5,6,6,3,2,4,6,3,6,1,3,2,2,2,1,19,7,3.3,,23,1,2,39,2
4,5,4,6,6,4,6,5,4,5,4,6,5,5,1,2,4,3,6,4,7,4,6,4,2,2,2,7,2,4,4,5,2,6,6,6,2,5,6,2,6,1,2,4,6,3,3,2,4,2,1,2,2,19,1,3.1,,21,0,0,82,2
4,3,6,3,3,5,3,2,3,3,2,6,6,1,2,3,5,5,5,5,5,6,5,6,2,3,2,5,5,2,2,5,2,6,7,6,5,5,6,2,3,4,3,3,6,3,3,2,6,1,2,2,2,18,7,3.6,,23,0,1,82,2
5,3,4,5,4,3,7,3,5,4,5,5,5,3,5,4,5,4,4,5,5,3,5,5,5,4,3,4,5,3,4,3,3,6,5,6,3,3,5,3,4,3,4,4,6,6,4,3,3,1,5,5,1,19,5,3.4,,27,0,2,39,2
2,5,5,2,5,2,4,3,6,4,6,4,4,4,4,2,4,5,6,6,2,5,6,2,5,3,4,3,2,4,2,3,3,5,4,6,3,3,5,4,3,4,4,3,6,3,4,4,2,1,3,3,2,19,7,3.96,,25,0,2,82,2
6,3,5,5,3,4,5,3,6,6,5,3,5,3,5,3,6,2,4,5,2,3,6,3,5,3,1,5,6,1,4,6,2,7,6,6,5,3,6,3,6,3,2,2,5,3,6,1,3,1,3,2,2,18,7,3.5,,27,0,1,1,2
7,2,6,2,2,2,2,6,2,5,2,6,7,1,2,4,5,2,6,5,2,2,6,7,2,3,1,7,3,1,2,2,1,7,7,7,2,3,5,3,5,2,2,5,6,5,4,1,5,1,1,2,2,21,7,3,,27,1,7,82,2
6,5,6,4,4,5,5,5,5,5,3,4,4,6,3,4,5,4,5,5,5,4,6,5,5,2,5,5,6,5,4,3,2,5,3,3,6,6,6,4,5,3,4,4,4,4,5,3,6,5,5,7,1,20,7,3.4,,26,0,2,82,2
2,4,4,7,1,1,1,6,2,5,6,1,6,7,6,5,7,2,7,7,6,1,6,7,3,1,1,2,2,1,1,7,3,7,7,4,7,5,5,3,2,3,5,3,4,3,6,2,6,1,2,3,1,19,7,3.92,,32,0,0,9,2
5,3,2,3,2,2,2,6,2,2,2,6,6,2,2,3,6,6,6,6,2,2,6,6,3,3,2,6,2,2,3,2,2,6,6,7,2,2,6,2,6,6,2,6,6,6,6,1,6,1,2,2,2,19,7,2.8,,24,2,1,1,2
2,3,3,3,2,2,2,4,4,3,4,2,7,5,4,5,7,3,6,7,3,2,6,6,4,2,2,7,2,1,1,2,2,6,7,5,2,2,6,6,4,2,1,3,7,1,5,1,1,1,1,1,1,28,8,3.4,,27,2,2,82,2
4,2,4,2,1,5,6,3,1,6,,3,6,2,4,2,6,3,7,6,2,4,6,7,1,5,2,6,1,3,2,2,3,6,6,6,6,5,5,2,2,2,2,2,6,1,5,1,5,1,2,4,2,23,7,3.95,,28,3,11,73,2
3,5,2,6,5,3,3,6,3,3,3,3,5,1,2,2,5,2,6,5,5,3,5,7,2,4,2,6,2,1,2,2,2,6,6,6,2,2,6,2,1,2,2,4,6,2,5,2,3,1,1,1,2,26,7,3,,,1,5,82,2
6,3,6,2,5,2,7,3,5,5,6,6,3,5,6,5,5,3,6,4,3,3,5,5,2,3,3,5,2,2,3,5,4,5,5,6,7,4,5,4,3,5,3,3,5,3,5,3,5,2,2,2,2,22,7,3.7,,31,1,1,21,2
6,2,6,2,6,5,6,3,2,7,5,3,5,5,5,6,5,1,7,7,2,1,5,6,4,2,2,6,1,6,2,5,3,7,7,7,3,2,7,6,3,3,1,3,7,3,6,1,6,2,1,1,1,19,7,3.9,,27,1,0,9,2
6,2,6,2,5,6,5,3,6,5,6,3,5,5,5,6,5,3,6,6,5,3,6,6,3,2,3,7,5,4,2,6,4,7,6,6,3,2,6,5,3,3,5,3,6,3,6,5,3,2,3,2,1,23,7,2.5,,,1,1,82,2
5,2,2,4,1,4,2,6,5,4,2,5,5,2,3,4,4,4,5,4,3,3,4,6,2,2,3,6,4,2,2,1,3,7,6,5,3,4,4,6,4,4,5,5,5,5,6,3,3,1,2,4,2,25,7,2.75,,,2,1,2,2
5,3,5,1,2,2,2,3,,6,5,6,3,3,3,3,6,2,6,7,2,3,6,,,2,1,,2,6,5,,2,7,6,5,2,,2,,4,3,2,3,6,2,4,,5,2,2,2,2,21,1,3,,17,0,3,82,2
1,6,1,6,1,1,1,4,2,5,5,4,7,2,1,4,4,5,6,4,3,3,6,7,3,4,4,4,3,1,3,3,2,,6,6,2,2,5,4,5,5,5,4,7,4,5,1,1,1,1,1,2,21,7,3.75,,26,0,0,59,2
4,6,4,6,1,1,1,6,5,5,2,6,6,2,2,2,6,2,6,5,2,2,5,5,4,2,1,6,2,1,2,2,1,7,7,6,2,1,7,6,7,7,2,5,7,6,7,2,2,1,1,2,2,21,7,3.3,,20,1,2,10,2
2,2,2,7,2,2,3,6,5,4,2,5,6,1,3,3,7,2,5,5,7,5,4,2,3,2,2,6,2,4,5,2,2,6,6,6,5,4,4,4,5,2,4,2,6,2,4,1,3,1,2,4,2,19,7,3,,18,0,0,5,2
4,3,2,6,2,2,2,3,5,6,5,7,6,4,4,4,3,3,7,6,5,2,7,7,3,3,1,5,6,3,2,4,2,7,6,7,5,5,5,3,3,3,5,2,6,3,6,1,6,2,2,4,2,18,7,3.06,,32,1,2,23,2
1,1,1,1,1,1,1,1,6,7,5,4,6,1,2,7,5,2,7,7,1,1,7,6,4,1,1,6,2,6,1,5,2,7,7,7,1,1,6,7,6,4,4,5,7,3,7,1,4,1,1,2,2,20,7,3.98,,27,0,1,9,2
2,3,3,6,1,1,1,7,1,1,1,5,7,1,2,3,7,1,7,7,1,1,7,7,1,1,1,7,1,1,1,2,1,7,7,7,1,1,6,6,1,6,1,6,7,6,6,1,2,1,1,1,2,22,7,3.95,,23,1,4,23,2
4,4,2,7,1,1,1,2,1,4,4,3,7,4,5,5,6,2,7,7,1,2,6,7,2,2,1,7,2,2,1,2,1,7,7,6,2,1,6,2,6,3,1,2,7,4,5,1,2,1,1,1,2,29,7,3.4,,28,1,2,24,2
4,6,4,6,1,1,1,7,1,1,2,7,7,1,4,2,6,3,5,5,2,3,6,7,1,1,1,5,1,1,4,1,1,7,6,6,1,2,6,6,7,6,1,5,7,6,5,1,1,1,1,1,2,18,1,3.73,,23,0,1,82,2
7,2,5,2,2,4,6,6,2,5,3,6,5,1,2,1,6,6,5,5,2,2,6,7,2,6,3,5,2,6,5,1,2,6,6,6,1,2,6,5,5,5,2,3,6,2,5,5,2,1,2,1,2,18,7,3.6,,21,1,2,10,2
6,6,4,6,2,2,1,5,3,6,5,6,4,4,7,5,5,2,6,6,3,3,6,3,5,4,1,7,3,6,2,2,2,5,5,6,2,2,7,5,6,3,2,2,6,2,6,4,2,1,2,2,2,18,7,3.2,,24,0,1,1,2
2,3,2,5,1,5,2,5,5,4,2,6,7,1,5,4,5,4,7,5,2,5,5,6,5,4,1,5,2,2,2,4,2,7,5,6,5,5,5,2,7,6,2,6,4,5,6,1,5,1,1,1,2,21,7,3.95,,29,0,12,73,2
6,1,4,1,6,6,4,3,7,5,5,3,4,4,5,7,6,1,7,7,2,2,6,6,2,3,3,6,1,4,3,5,2,7,7,6,5,3,6,3,5,2,3,2,7,2,5,1,4,1,1,2,2,21,7,3.2,,22,3,2,5,2
5,4,4,3,4,5,4,5,6,6,5,2,3,6,6,5,5,3,6,6,2,3,6,3,6,2,3,6,3,7,3,3,4,6,6,7,2,2,5,3,5,2,3,2,6,3,6,2,3,2,2,3,1,18,7,3.2,,23,0,1,10,2
5,5,4,,3,6,6,5,6,5,2,6,5,2,2,2,2,2,4,6,6,6,6,4,2,2,4,2,1,2,1,3,3,2,6,6,2,2,3,2,2,1,2,5,3,2,6,2,3,3,4,4,2,22,7,3.2,,24,2,1,5,2
2,4,2,6,6,6,2,2,2,5,4,6,7,2,2,6,2,4,6,5,4,2,6,6,3,2,2,6,4,1,2,6,2,7,7,7,3,4,6,3,5,6,3,6,3,6,2,3,2,1,3,5,1,21,7,3.3,2010,33,0,1.5,79,2
5,4,2,5,2,2,2,3,4,5,5,5,5,4,6,4,7,3,5,5,3,2,6,5,3,2,2,5,6,4,3,4,5,6,6,5,4,4,6,3,5,4,3,4,3,4,6,4,5,2,2,3,2,18,7,3.3,,20,0,0,82,2
5,2,2,6,2,4,2,3,6,6,5,2,3,6,6,3,5,3,6,4,4,3,7,3,2,2,2,6,5,2,3,5,3,6,6,7,5,2,5,5,2,2,3,2,6,3,5,3,3,1,3,2,1,22,7,3.1,,26,1,1,70,2
6,2,2,3,5,5,3,4,5,6,6,3,6,5,3,4,7,5,5,5,4,3,6,5,2,3,2,7,2,5,2,4,1,7,6,5,5,5,6,2,4,3,5,3,5,4,6,2,6,1,1,2,1,19,7,3.4,,28,0,0,18,2
6,1,6,7,1,1,1,5,5,5,6,3,5,6,6,6,5,5,7,6,1,6,7,7,5,5,1,7,6,5,5,5,1,7,7,7,5,5,5,6,6,1,3,3,6,5,5,4,7,1,1,1,1,25,7,3.55,,28,0,0,16,2
2,4,4,4,1,1,1,2,6,2,5,3,6,2,4,6,6,2,7,7,2,1,6,7,2,1,1,7,1,1,1,5,1,6,7,7,5,4,6,6,5,3,1,2,7,3,6,1,3,1,1,1,1,22,7,3.8,,,2,1,9,2
5,3,7,3,6,5,5,4,6,3,3,3,6,5,4,6,5,5,5,5,3,2,5,4,7,5,2,6,7,6,5,2,2,6,5,7,6,3,4,2,3,2,2,2,6,3,5,6,6,1,5,4,1,18,7,3.1,,24,1,1,10,2
2,6,4,4,2,4,2,4,2,3,2,5,6,2,4,4,6,4,6,6,4,2,6,5,3,4,4,6,2,3,3,2,3,5,6,6,5,4,4,3,4,6,4,6,6,4,6,2,4,2,2,3,2,25,7,2.9,,23,1,2,32,2
2,7,2,7,1,1,1,5,5,6,4,2,7,5,4,6,4,2,6,6,7,2,6,7,2,2,1,5,2,3,1,5,1,7,6,7,5,3,5,5,7,5,5,5,7,5,6,2,5,1,1,1,2,20,7,3.806,,33,1,1,82,2
2,4,3,6,2,3,2,5,5,3,3,5,5,2,1,4,6,3,5,3,5,5,5,6,3,4,2,3,2,3,3,2,2,6,6,4,3,3,3,3,6,5,3,5,5,5,5,2,3,2,2,2,2,27,7,3.5,,,1,30,73,2
6,5,6,3,3,2,5,2,6,3,6,3,3,3,5,2,3,5,6,6,2,2,6,6,3,3,3,5,2,3,2,5,2,7,6,6,7,5,4,3,3,2,2,5,6,1,6,1,5,2,2,2,2,18,7,3.6,,18,0,0,9,2
5,5,3,4,2,2,1,4,2,5,6,5,6,2,5,3,3,2,7,7,2,1,6,6,2,2,2,6,3,2,5,6,1,6,6,6,3,4,5,3,4,2,3,6,6,3,5,1,3,2,1,2,2,18,7,3.8,,23,0,2,18,2
1,7,1,6,6,2,5,2,7,6,7,6,6,5,6,6,2,3,5,5,5,6,1,4,6,2,1,5,3,1,6,7,1,6,5,7,7,7,5,6,3,2,5,1,3,3,6,1,6,1,1,1,1,21,7,2.78,,24,1,0,9,2
6,3,2,7,1,1,6,2,5,7,3,2,3,7,4,6,2,5,7,6,1,2,7,7,7,2,2,7,2,5,2,5,6,7,6,7,7,2,3,3,5,2,2,1,6,2,5,3,6,2,2,3,2,21,7,3.35,,27,1,9,82,2
3,2,6,3,3,3,2,3,5,5,5,3,5,5,5,7,5,2,7,6,3,2,6,6,5,2,2,6,2,5,3,6,3,5,6,6,3,3,5,5,3,3,5,3,5,5,5,2,3,2,2,2,1,23,7,3.3,,29,1,3,61,2
1,6,2,2,1,1,2,6,1,6,2,7,7,1,1,5,5,1,6,6,4,1,6,5,2,4,1,6,2,1,4,1,1,6,6,7,3,2,5,5,2,5,2,4,7,2,6,1,2,1,1,1,2,22,7,3.1,,,1,0,34,2
6,3,5,3,1,1,1,6,2,6,3,5,6,2,5,6,7,3,6,5,5,5,6,3,2,3,2,5,3,5,3,4,1,7,6,6,5,5,5,3,3,3,5,3,6,3,6,2,6,1,2,1,2,20,7,2.96,,20,1,0,82,2
4,4,4,6,2,2,2,5,2,2,2,6,6,2,2,4,5,4,6,5,3,4,5,6,3,5,2,6,5,3,2,2,2,6,4,6,2,2,6,5,7,6,4,6,6,6,6,2,3,2,2,2,2,18,7,3.9,,30,1,1,1,2
5,2,6,4,4,5,2,6,3,4,2,5,6,1,1,5,7,3,5,5,3,5,4,6,4,4,2,4,4,5,2,2,1,7,6,7,2,4,5,6,6,4,2,3,7,4,5,2,6,1,2,2,2,19,7,3.5,,24,0,1,82,2
5,4,1,5,1,4,2,5,4,4,1,7,7,4,2,1,4,5,7,3,4,5,7,7,3,4,1,6,3,7,1,1,2,7,6,5,1,3,5,4,7,4,2,5,7,2,5,1,2,1,1,1,2,21,7,2.7,23,,1,0,82,2
6,2,3,2,2,1,1,4,7,5,4,2,6,5,6,7,7,2,6,7,3,2,7,4,3,2,3,6,5,7,6,6,1,5,7,7,5,6,5,5,5,4,1,5,6,5,5,3,7,1,2,3,1,21,7,2.85,,24,2,2,10,2
2,6,2,7,2,2,4,6,2,5,2,2,6,2,1,5,6,2,6,6,2,2,6,6,6,2,2,6,2,3,6,3,1,7,7,6,6,3,5,2,6,6,6,3,6,6,6,2,5,2,2,2,1,19,7,3.4,,25,0,2,36,2
5,2,5,3,2,2,2,1,4,6,6,4,4,1,2,4,1,3,6,5,2,4,6,6,5,2,2,6,3,5,2,5,2,6,6,6,5,2,2,3,2,2,4,1,3,1,5,1,5,1,2,1,2,20,7,3.3,,21,1,2,44,2
5,4,1,6,1,2,3,6,1,5,4,3,6,2,4,4,6,2,7,5,2,1,6,6,2,1,3,6,1,1,2,5,2,7,7,5,3,3,4,3,3,3,2,3,7,3,6,1,5,1,2,2,1,25,7,3.5,,31,1,0,9,2
5,6,1,5,1,1,1,6,2,3,5,2,6,4,3,3,6,2,7,7,2,1,6,7,1,2,2,6,2,2,3,4,1,7,7,6,5,2,6,3,6,6,2,6,6,6,6,1,2,1,1,1,2,38,7,3,,,4,7,78,2
3,3,2,5,2,2,2,3,2,3,3,3,6,1,4,4,6,6,5,5,4,2,6,7,2,2,1,7,3,2,5,6,2,6,6,7,5,3,7,5,6,2,2,2,6,3,6,2,3,1,2,2,2,21,7,3.3,,28,1,2,82,2
4,4,5,4,2,5,2,6,2,5,6,6,5,3,2,3,6,5,6,5,3,5,6,7,2,4,2,6,5,2,2,2,2,6,7,6,2,2,6,5,6,6,2,5,6,3,6,2,2,2,2,2,2,18,7,3.5,,24,0,1,23,2
4,6,2,6,1,2,2,6,3,4,2,3,6,1,2,6,5,2,6,5,3,4,5,6,4,3,4,4,2,2,3,2,3,6,6,6,3,2,6,6,6,6,3,6,6,6,5,2,4,1,2,2,1,20,7,3.2,,27,2,5,73,2
6,3,6,6,1,1,1,3,5,6,5,4,5,5,5,6,3,5,6,6,1,2,5,5,6,3,3,3,5,5,2,5,3,2,5,4,5,3,3,3,3,2,3,2,5,5,6,2,5,,2,5,2,21,7,3.1,,24,2,2,9,2
5,3,,3,2,5,5,5,6,5,4,3,6,4,2,4,6,1,7,7,2,1,6,7,5,4,2,3,1,3,2,4,2,7,7,6,1,4,5,3,5,3,3,5,6,6,7,4,5,2,2,1,2,22,7,3.1,,28,0,0,68,1
2,4,2,6,2,4,5,6,5,5,5,3,6,4,5,3,3,3,6,5,5,5,5,6,3,2,2,5,2,3,2,4,4,6,5,5,3,2,6,4,5,5,2,2,6,6,6,1,3,1,2,4,1,19,7,3.3,,25,0,1,82,2
7,5,6,6,7,7,7,4,7,7,7,5,4,7,5,2,4,4,7,7,5,1,6,1,7,4,2,5,3,1,2,4,6,4,5,7,2,2,7,7,6,7,2,4,7,7,7,7,7,1,2,4,1,18,7,3,,21,0,0,10,2
2,2,3,4,2,2,3,2,4,3,5,2,6,1,3,5,5,2,5,6,3,5,2,6,3,3,1,7,2,2,1,2,2,6,6,5,1,1,6,4,4,4,2,3,6,3,3,2,2,1,1,1,1,23,9,2.99,,21,2,1,82,2
5,3,4,3,1,1,1,3,3,6,7,5,3,5,5,4,4,5,7,6,2,1,5,6,4,3,3,6,2,2,2,4,2,7,6,3,2,1,6,2,3,3,6,2,6,4,5,1,3,2,2,2,2,21,7,3.2,,,1,2,9,2
7,2,2,6,5,4,6,5,3,6,5,6,6,3,4,2,5,6,5,4,6,4,7,5,5,3,5,5,3,2,6,3,2,5,6,7,3,5,6,4,3,3,3,3,5,3,6,2,6,1,1,5,2,19,7,3.08,,29,0,1,1,2
5,4,5,3,2,2,5,3,6,3,4,6,6,5,2,4,7,5,7,7,2,5,5,6,6,5,4,6,4,5,5,3,2,7,7,6,3,3,5,5,6,6,3,5,7,6,7,3,6,2,3,3,2,19,7,3.2,,26,1,1,82,2
3,3,3,3,5,6,5,3,5,6,6,6,2,5,6,6,5,2,6,5,5,3,5,7,2,2,2,6,2,5,3,7,3,4,5,6,5,5,6,2,3,2,3,3,3,2,5,2,6,2,5,2,2,19,7,3.786,,29,0,1,82,2
3,2,6,3,2,2,2,3,6,4,4,2,4,6,5,6,6,3,6,6,6,5,6,7,2,4,2,7,2,2,1,6,3,6,6,6,5,2,5,5,6,5,3,3,5,4,2,2,6,2,2,2,1,19,7,3.5,,27,1,2,24,2
6,2,2,2,2,2,2,6,1,5,2,1,6,5,4,6,6,3,7,7,1,3,6,6,4,2,2,6,2,2,2,1,2,7,6,6,3,2,6,3,5,7,2,7,6,6,7,2,2,1,2,6,1,21,7,3.4,29,,0,13,82,2
3,3,2,5,5,2,5,2,5,6,5,5,6,2,3,3,6,3,6,5,2,5,6,5,2,2,2,6,2,5,5,2,3,6,6,6,5,5,2,3,6,3,5,5,6,6,6,2,3,2,2,2,2,18,7,3.5,,23,0,1,82,2
4,3,4,5,3,4,1,4,4,6,4,4,5,4,4,3,5,4,6,5,3,4,6,6,6,4,4,5,5,2,3,3,3,6,6,5,4,5,5,6,4,5,4,4,7,4,6,3,5,3,2,1,1,19,2,3.2,,20,1,0,10,2
5,3,5,3,3,4,5,5,5,5,5,4,3,5,5,3,4,3,5,6,5,2,5,4,3,5,3,3,4,4,5,5,3,5,3,6,5,4,3,3,4,3,4,3,5,3,3,2,6,2,3,5,1,20,7,3.8,,29,1,0,2,2
3,5,5,6,3,5,5,5,6,5,3,5,6,3,2,5,6,6,4,6,5,3,7,5,3,2,2,5,4,2,3,5,2,6,6,6,,4,5,3,6,6,2,5,5,3,5,2,6,2,2,2,2,21,7,3.6,,29,1,5,82,2
5,3,4,2,3,4,5,3,5,4,5,3,3,3,5,5,3,3,3,2,6,3,6,5,5,2,2,3,3,3,4,5,4,3,5,5,6,2,2,3,2,3,4,3,2,3,3,1,4,2,2,5,1,20,7,3.2,,25,1,1,10,2
4,3,5,2,2,2,2,3,1,5,4,5,6,2,3,4,7,2,6,5,3,1,6,7,2,2,1,7,1,1,1,5,2,7,7,5,3,2,4,5,5,4,3,3,5,3,6,2,2,1,1,2,2,21,7,3.8,,32,2,0,24,2
6,3,6,1,1,2,1,3,6,6,6,2,5,2,1,5,6,5,6,1,3,2,2,5,6,2,2,6,6,6,5,4,3,7,6,7,2,2,7,6,3,2,3,2,6,2,6,2,2,2,2,5,2,19,1,2.3,,20,1,1,1,2
5,4,4,4,1,2,5,3,2,4,4,4,2,1,6,3,5,4,6,6,1,2,4,3,5,4,2,4,3,2,1,4,2,7,6,7,2,2,5,6,4,2,1,4,7,4,6,1,5,1,1,2,2,21,1,3.1,,24,0,1,82,2
5,3,4,4,3,2,2,2,3,5,4,3,5,2,6,1,6,3,6,5,5,4,6,6,3,2,1,7,2,2,2,5,1,6,6,6,5,5,5,3,3,4,2,4,6,4,6,1,3,1,2,4,2,24,7,2.6,1600,24,11,13,73,2
2,3,6,6,1,1,1,3,5,4,3,3,6,5,3,6,7,1,7,6,2,2,6,7,2,2,1,5,1,2,6,2,1,7,7,6,5,2,6,5,5,7,1,3,7,6,7,1,3,1,1,1,1,26,7,3.1,,26,0,0,37,2
2,3,5,6,1,1,1,7,1,5,4,6,5,1,4,5,5,4,7,6,2,1,6,7,1,2,1,7,2,1,2,4,2,7,7,7,2,3,6,6,5,7,2,5,7,7,6,1,2,1,1,1,1,22,9,2,,27,1,2,82,2
3,2,6,2,5,5,6,3,6,7,6,3,2,5,6,5,6,2,6,5,6,6,3,3,5,4,4,3,4,6,5,6,4,6,7,7,5,5,5,3,3,3,5,1,6,2,7,4,6,2,5,5,2,23,7,3,,21,1,2,9,2
5,3,4,3,1,1,1,5,6,6,6,4,3,5,5,6,5,2,6,6,2,1,6,5,4,2,2,6,3,6,2,6,2,7,6,6,5,2,3,3,6,2,2,2,6,3,4,1,2,1,3,1,2,21,7,3.1,,26,1,2,10,2
