5,6,5,5,5,6,4,4,6,4,4,5,5,4,4,5,5,5,4,3,5,4,6,5,4,5,5,5,4,6,4,4,4,6,6,4,6,5,5,5,4,6,4,5,4,6,5,5,5,4,5,5,1,25,7,2000,999,2,2,999
1,6,2,2,1,1,1,2,6,6,5,3,4,5,5,6,6,2,7,7,1,1,6,6,2,2,2,5,2,1,1,5,3,7,6,7,2,1,7,3,4,2,2,2,6,3,6,1,5,1,2,1,1,29,7,1550,999,3,6,999
3,4,5,6,5,3,3,2,4,4,5,4,6,5,4,4,6,3,4,3,6,3,5,4,3,5,2,6,5,3,5,4,4,5,4,4,3,5,4,5,4,3,2,5,4,5,4,5,3,5,5,3,1,25,7,999,999,0,0,999
6,6,2,6,2,2,2,6,2,2,6,2,6,6,2,3,6,2,6,6,2,4,6,6,5,4,2,6,2,2,2,2,2,6,6,6,2,2,6,6,6,6,2,6,6,6,6,2,2,2,2,2,2,27,7,999,999,1,2,999
2,6,2,6,7,5,7,2,6,5,6,3,2,5,5,6,3,5,5,5,4,3,3,4,3,4,3,4,3,3,3,6,2,4,5,4,3,3,4,5,2,3,3,3,4,3,5,4,5,2,3,3,1,23,7,999,999,0,0,999
5,1,2,2,2,2,3,2,6,2,5,6,2,2,5,2,5,2,6,5,2,5,2,2,5,5,2,5,2,5,5,6,3,5,5,5,6,5,2,2,2,2,6,2,2,2,5,2,5,2,2,6,1,24,3,999,999,1,1,999
2,7,1,7,1,1,1,6,4,4,1,7,6,1,4,6,6,3,6,7,6,3,5,5,6,3,5,3,2,1,4,2,2,7,7,5,6,3,5,2,7,7,5,7,7,7,7,2,1,1,3,5,2,52,3,999,999,0,1,999
5,3,5,3,4,6,4,1,7,5,7,2,1,7,7,7,2,5,7,7,2,1,5,4,4,5,3,3,3,3,5,7,4,4,6,4,7,4,3,3,1,1,5,2,5,1,5,4,6,5,4,5,1,43,7,999,999,0,1,999
1,6,4,2,1,1,1,1,1,5,4,5,7,1,5,5,4,1,6,4,4,2,7,7,1,1,1,7,5,2,1,4,1,5,7,6,5,5,5,3,3,2,2,4,5,2,5,1,5,1,1,1,2,23,7,2100,999,0,20,999
5,3,5,3,2,2,2,6,2,5,3,6,5,1,3,5,6,2,7,5,4,2,6,6,1,2,1,6,1,1,1,5,2,6,6,6,5,2,5,3,3,6,5,4,7,4,6,2,4,1,2,1,1,23,7,2080,999,0,1,999
1,1,1,7,1,1,1,7,1,1,1,7,7,1,1,4,7,1,6,6,2,1,7,7,1,1,1,6,1,1,1,1,1,7,7,7,2,2,4,4,7,7,1,7,7,7,6,1,1,1,1,1,2,55,7,999,999,1,2,999
2,3,3,1,1,1,1,5,5,6,6,7,6,1,6,5,6,1,7,6,1,1,5,6,2,1,1,3,2,5,2,6,2,7,6,7,2,1,6,5,2,3,2,2,6,5,7,1,2,1,2,2,2,26,7,999,22,0,0,999
